username,full_name,platform,total_followers,total_media_posts,account_category,boost_index,engagement_rate,engagement_rate_60d,avg_likes,avg_comments,avg_video_views,avg_1d,avg_3d,avg_7d,avg_14d,avg_30d,profile_url
kimberly.loaiza,kimberly.loaiza,Instagram,35190427,586,Trailers,78,0.0565778799962034,0.0478079684634776,2668449.0,30747.96629213483,6499614.011904762,,,462549.0,1414640.3333333333,1605446.0,https://www.instagram.com/kimberly.loaiza
sachintendulkar,sachintendulkar,Instagram,35033518,995,,76,0.0184666748329243,0.0202981365244361,800379.5,2110.816,1898931.0,,603372.0,531235.6666666666,531235.6666666666,635379.7142857143,https://www.instagram.com/sachintendulkar
simoneses,simoneses,Instagram,34784799,4394,,72,0.0106013037618015,0.0065881265101163,425578.3333333333,4539.766055045871,2380157.4444444445,,,357320.5,305093.6,247953.0,https://www.instagram.com/simoneses
ivetesangalo,ivetesangalo,Instagram,34714162,7555,Shows,84,0.0057203285737465,0.0021890525460217,234006.2142857143,3542.183500385505,1314483.7951807228,,69941.0,43746.5,54630.0,63001.0,https://www.instagram.com/ivetesangalo
paollaoliveirareal,paollaoliveirareal,Instagram,34565086,4544,Music,84,0.0082541164832495,0.0056734668757112,367804.9722222223,3025.36539746159,1111841.534246575,51188.0,54111.16666666666,109581.0,136755.29411764705,126819.32142857143,https://www.instagram.com/paollaoliveirareal
lunamaya,lunamaya,Instagram,34486065,4035,Fashion & Beauty,83,0.0032126124569443,0.0024909527637714,145525.50595238095,948.4511819116136,499199.453125,,62424.0,96535.33333333331,69638.6875,58397.58064516129,https://www.instagram.com/lunamaya
dannapaola,dannapaola,Instagram,34446899,1934,,68,0.0305530075060863,0.0289454440980041,1458303.625,3327.8276699029125,2127755.433333333,,,,837285.0,838019.75,https://www.instagram.com/dannapaola
blakelively,blakelively,Instagram,34420991,112,,80,0.0682388876283921,0.0746676282925667,3222808.5,9165.636363636364,7197748.0,,,,,3370864.0,https://www.instagram.com/blakelively
toni.kr8s,toni.kr8s,Instagram,34281435,931,Nonprofits & Activism,83,0.0141798451354828,0.016836516647871,597179.75,2314.913432835821,1206603.9523809524,,,1086602.0,671331.3333333334,481886.2,https://www.instagram.com/toni.kr8s
adidasoriginals,adidasoriginals,Instagram,34246782,259,,83,0.0034338340306642,0.0020140179342872,151286.6,667.1032388663967,427704.7,176516.0,100398.0,87087.25,83506.0,79206.0,https://www.instagram.com/adidasoriginals
disney,disney,Instagram,33912535,7196,Movies,77,0.005567755568881,0.0044303100721691,185166.2341269841,1053.8107497741644,667676.1785714285,,132230.5,140913.33333333334,126242.94871794872,130599.54430379746,https://www.instagram.com/disney
shaymitchell,shaymitchell,Instagram,33777981,6292,Science & Technology,83,0.0170734284188602,0.0131275839683203,754879.925,1958.390516039052,2085853.5961538465,,615270.0,615270.0,615270.0,612827.0,https://www.instagram.com/shaymitchell
khabib_nurmagomedov,khabib_nurmagomedov,Instagram,33561258,4509,Sports,63,0.0173853337259555,0.0120533964293051,693615.5178571428,5063.583132530121,2562603.4852941176,144171.0,144171.0,251138.3333333333,209536.8333333333,399579.3888888889,https://www.instagram.com/khabib_nurmagomedov
bmw,bmw,Instagram,33536702,9247,Autos & Vehicles,79,0.0056270389491379,0.0029725203761395,232946.5344611529,587.0275279367675,450255.3468208093,,67768.0,79598.5,76931.96428571429,84832.546875,https://www.instagram.com/bmw
zidane,zidane,Instagram,33177179,366,Gaming,41,0.0253472223299743,0.0251361379494257,1059596.0,6400.405660377359,1691814.888888889,,999103.0,999103.0,999103.0,911822.2857142856,https://www.instagram.com/zidane
nancyajram,nancyajram,Instagram,33102343,3810,Music,81,0.0092858188712669,0.0043412410576444,391202.1666666667,3792.208616780045,1283372.6764705882,,169947.0,169947.0,132337.66666666666,146928.11111111112,https://www.instagram.com/nancyajram
sonamkapoor,sonamkapoor,Instagram,33043019,4799,Entertainment,75,0.0062851616160342,0.0088427624551588,264547.2055555556,868.8948126801153,757543.6603773584,,,,153794.33333333334,237832.4285714285,https://www.instagram.com/sonamkapoor
luansantana,luansantana,Instagram,33024460,714,,79,0.0050504642131005,0.0050917149464801,205587.9583333333,4795.100969766116,528762.5225806452,,211062.3333333333,129386.125,193875.8571428572,182498.66666666663,https://www.instagram.com/luansantana
danbilzerian,danbilzerian,Instagram,32938902,1372,Pets & Animals,84,0.0530364629733419,0.0336293331489344,2044189.0,24680.813186813182,21036525.384615384,,1079742.0,1079742.0,1079742.0,1079742.0,https://www.instagram.com/danbilzerian
nickjonas,nickjonas,Instagram,32906383,2315,,78,0.0179900611955367,0.0107655272386417,744225.6666666666,2191.0835509138383,1089024.303030303,,65526.0,65526.0,65526.0,339617.3333333333,https://www.instagram.com/nickjonas
gururandhawa,gururandhawa,Instagram,32845959,2140,Education,83,0.0152565367905094,0.0083653312996734,637758.25,3837.25147579693,2267250.602040816,,218212.0,232432.66666666663,307367.14285714284,289892.625,https://www.instagram.com/gururandhawa
iambeckyg,iambeckyg,Instagram,32812027,2270,,71,0.0140306125475646,0.0164217780819529,625421.4761904763,1588.4186046511627,1020375.8085106384,,232931.0,300174.0,321817.6666666667,396257.9285714286,https://www.instagram.com/iambeckyg
